Wavelength (micron)	F2 Net System Transmission with Ks Filter (BARR MAN317A; Gemini ID Ks_G0804) (1=100%)
2.1548	0.7313
2.1554	0.7370
2.1559	0.7452
2.1564	0.7427
2.1569	0.7372
2.1574	0.7393
2.1579	0.7259
2.1584	0.7269
2.1589	0.7228
2.1594	0.7289
2.1599	0.7301
2.1604	0.7301
2.1609	0.7272
2.1614	0.7328
2.1619	0.7337
2.1624	0.7389
2.1629	0.7339
2.1634	0.7389
2.1639	0.7389
2.1644	0.7429
2.1649	0.7416
2.1654	0.7401
2.1659	0.7398
2.1664	0.7393
2.1669	0.7373
2.1674	0.7328
2.1679	0.7329
2.1684	0.7321
2.1689	0.7292
2.1694	0.7334
2.1699	0.7291
2.1704	0.7313
2.1709	0.7319
2.1714	0.7324
2.1719	0.7345
2.1724	0.7348
2.1729	0.7358
2.1734	0.7374
2.1739	0.7424
2.1744	0.7385
2.1749	0.7438
2.1754	0.7401
2.1759	0.7486
2.1764	0.7517
2.1769	0.7458
2.1774	0.7445
2.1779	0.7479
2.1784	0.7464
2.1789	0.7405
2.1794	0.7438
2.1799	0.7346
2.1804	0.7340
2.1809	0.7345
2.1814	0.7346
2.1819	0.7267
2.1824	0.7335
2.1829	0.7344
2.1834	0.7315
2.1839	0.7500
2.1844	0.7481
2.1849	0.7463
2.1854	0.7406
2.1859	0.7402
2.1864	0.7390
2.1869	0.7386
2.1874	0.7385
2.1879	0.7259
2.1884	0.7235
2.1889	0.7305
2.1894	0.7330
2.1899	0.7394
2.1905	0.7400
2.1910	0.7404
2.1915	0.7418
2.1920	0.7552
2.1925	0.7524
2.1930	0.7464
2.1935	0.7492
2.1940	0.7518
2.1945	0.7449
2.1950	0.7464
2.1955	0.7393
2.1960	0.7410
2.1965	0.7345
2.1970	0.7327
2.1975	0.7301
2.1980	0.7171
2.1985	0.7176
2.1990	0.7178
2.1995	0.7196
2.2000	0.7161
2.2005	0.7173
2.2010	0.7191
2.2015	0.7204
2.2020	0.7268
2.2025	0.7239
2.2030	0.7285
2.2035	0.7256
2.2040	0.7318
2.2045	0.7321
2.2050	0.7329
2.2055	0.7374
2.2060	0.7337
2.2065	0.7379
2.2070	0.7340
2.2075	0.7392
2.2080	0.7349
2.2085	0.7394
2.2090	0.7358
2.2095	0.7398
2.2100	0.7370
2.2105	0.7381
2.2110	0.7412
2.2115	0.7386
2.2120	0.7434
2.2125	0.7465
2.2130	0.7429
2.2135	0.7459
2.2140	0.7411
2.2145	0.7423
2.2150	0.7418
2.2155	0.7415
2.2160	0.7421
2.2165	0.7416
2.2170	0.7454
2.2175	0.7413
2.2180	0.7417
2.2185	0.7457
2.2190	0.7407
2.2195	0.7448
2.2200	0.7367
2.2205	0.7412
2.2210	0.7380
2.2215	0.7421
2.2220	0.7424
2.2225	0.7432
2.2230	0.7466
2.2235	0.7419
2.2240	0.7424
2.2245	0.7423
2.2251	0.7428
2.2256	0.7392
2.2261	0.7438
2.2266	0.7403
2.2271	0.7455
2.2276	0.7450
2.2281	0.7454
2.2286	0.7493
2.2291	0.7449
2.2296	0.7482
2.2301	0.7437
2.2306	0.7441
2.2311	0.7440
2.2316	0.7443
2.2321	0.7476
2.2326	0.7430
2.2331	0.7476
2.2336	0.7423
2.2341	0.7427
2.2346	0.7432
2.2351	0.7425
2.2356	0.7424
2.2361	0.7432
2.2366	0.7430
2.2371	0.7394
2.2376	0.7443
2.2381	0.7438
2.2386	0.7443
2.2391	0.7411
2.2396	0.7455
2.2401	0.7416
2.2406	0.7426
2.2411	0.7439
2.2416	0.7443
2.2421	0.7498
2.2426	0.7462
2.2431	0.7503
2.2436	0.7474
2.2441	0.7554
2.2446	0.7508
2.2451	0.7513
2.2456	0.7509
2.2461	0.7509
2.2466	0.7483
2.2471	0.7522
2.2476	0.7492
2.2481	0.7542
2.2486	0.7576
2.2491	0.7530
2.2496	0.7567
2.2501	0.7525
2.2506	0.7526
2.2511	0.7523
2.2516	0.7529
2.2521	0.7527
2.2526	0.7524
2.2531	0.7532
2.2536	0.7559
2.2541	0.7522
2.2546	0.7523
2.2551	0.7511
2.2556	0.7514
2.2561	0.7491
2.2566	0.7522
2.2571	0.7488
2.2576	0.7536
2.2581	0.7527
2.2586	0.7537
2.2591	0.7565
2.2596	0.7519
2.2602	0.7553
2.2607	0.7542
2.2612	0.7525
2.2617	0.7515
2.2622	0.7506
2.2627	0.7493
2.2632	0.7442
2.2637	0.7479
2.2642	0.7426
2.2647	0.7428
2.2652	0.7383
2.2657	0.7420
2.2662	0.7425
2.2667	0.7458
2.2672	0.7402
2.2677	0.7401
2.2682	0.7396
2.2687	0.7389
2.2692	0.7385
2.2697	0.7381
2.2702	0.7386
2.2707	0.7377
2.2712	0.7378
2.2717	0.7407
2.2722	0.7354
2.2727	0.7352
2.2732	0.7346
2.2737	0.7346
2.2742	0.7315
2.2747	0.7350
2.2752	0.7311
2.2757	0.7361
2.2762	0.7323
2.2767	0.7365
2.2772	0.7366
2.2777	0.7323
2.2782	0.7435
2.2787	0.7389
2.2792	0.7399
2.2797	0.7347
2.2802	0.7310
2.2807	0.7276
2.2812	0.7315
2.2817	0.7279
2.2822	0.7295
2.2827	0.7302
2.2832	0.7276
2.2837	0.7332
2.2842	0.7366
2.2847	0.7337
2.2852	0.7382
2.2857	0.7372
2.2862	0.7348
2.2867	0.7388
2.2872	0.7346
2.2877	0.7397
2.2882	0.7393
2.2887	0.7389
2.2892	0.7428
2.2897	0.7372
2.2902	0.7407
2.2907	0.7403
2.2912	0.7381
2.2917	0.7376
2.2922	0.7331
2.2927	0.7288
2.2932	0.7331
2.2937	0.7291
2.2942	0.7359
2.2947	0.7318
2.2953	0.7307
2.2958	0.7305
2.2963	0.7318
2.2968	0.7299
2.2973	0.7282
2.2978	0.7262
2.2983	0.7243
2.2988	0.7224
2.2993	0.7185
2.2998	0.7174
2.3003	0.7098
2.3008	0.7100
2.3013	0.7095
2.3018	0.7079
2.3023	0.7058
2.3028	0.7014
2.3033	0.7034
2.3038	0.7010
2.3043	0.6993
2.3048	0.6962
2.3053	0.6903
2.3058	0.6919
2.3063	0.6886
2.3068	0.6818
2.3073	0.6818
2.3078	0.6742
2.3083	0.6733
2.3088	0.6644
2.3093	0.6632
2.3098	0.6574
2.3103	0.6504
2.3108	0.6433
2.3113	0.6364
2.3118	0.6246
2.3123	0.6161
2.3128	0.6084
2.3133	0.5945
2.3138	0.5830
2.3143	0.5697
2.3148	0.5541
2.3153	0.5438
2.3158	0.5299
2.3163	0.5178
2.3168	0.4994
2.3173	0.4816
2.3178	0.4645
2.3183	0.4506
2.3188	0.4319
2.3193	0.4165
2.3198	0.3990
2.3203	0.3796
2.3208	0.3596
2.3213	0.3441
2.3218	0.3263
2.3223	0.3111
2.3228	0.2951
2.3233	0.2783
2.3238	0.2627
2.3243	0.2468
2.3248	0.2324
2.3253	0.2202
2.3258	0.2080
2.3263	0.1953
2.3268	0.1827
2.3273	0.1704
2.3278	0.1603
2.3283	0.1501
2.3288	0.1417
2.3293	0.1327
2.3298	0.1234
2.3303	0.1138
2.3308	0.1075
2.3313	0.1006
2.3318	0.0940
2.3323	0.0885
2.3328	0.0822
2.3333	0.0769
2.3338	0.0712
2.3343	0.0674
2.3348	0.0630
2.3353	0.0595
2.3358	0.0556
2.3363	0.0516
2.3368	0.0482
2.3373	0.0454
2.3378	0.0429
2.3383	0.0404
2.3388	0.0378
2.3393	0.0357
2.3398	0.0334
2.3403	0.0314
2.3408	0.0297
2.3413	0.0282
2.3418	0.0265
2.3423	0.0248
2.3428	0.0235
2.3433	0.0220
2.3438	0.0210
2.3443	0.0200
2.3448	0.0188
2.3453	0.0179
2.3458	0.0168
2.3463	0.0158
2.3468	0.0151
2.3473	0.0143
2.3478	0.0136
2.3483	0.0129
2.3488	0.0122
2.3493	0.0115
2.3498	0.0109
2.3503	0.0105
2.3508	0.0100
2.3513	0.0095
2.3518	0.0090
2.3523	0.0086
2.3528	0.0081
2.3533	0.0078
2.3538	0.0074
2.3543	0.0072
2.3548	0.0068
2.3553	0.0064
2.3558	0.0061
2.3563	0.0059
2.3568	0.0056
2.3573	0.0054
2.3578	0.0051
2.3583	0.0049
2.3588	0.0046
2.3593	0.0045
2.3598	0.0043
2.3603	0.0041
2.3608	0.0040
2.3613	0.0038
2.3618	0.0036
2.3623	0.0034
2.3628	0.0033
2.3633	0.0032
2.3638	0.0030
2.3643	0.0029
2.3648	0.0028
2.3653	0.0027
2.3658	0.0026
2.3663	0.0025
2.3668	0.0023
2.3673	0.0023
2.3678	0.0022
2.3683	0.0021
2.3688	0.0020
2.3693	0.0019
2.3698	0.0018
2.3703	0.0018
2.3708	0.0017
2.3713	0.0016
2.3718	0.0015
2.3723	0.0015
2.3728	0.0014
2.3733	0.0014
2.3738	0.0014
2.3743	0.0013
2.3748	0.0013
2.3753	0.0012
2.3758	0.0011
2.3763	0.0011
2.3768	0.0010
2.3773	0.0010
2.3778	0.0009
2.3783	0.0009
2.3788	0.0009
2.3793	0.0009
2.3798	0.0008
2.3803	0.0008
2.3808	0.0008
2.3813	0.0007
2.3818	0.0007
2.3823	0.0007
2.3828	0.0007
2.3833	0.0006
2.3838	0.0006
2.3843	0.0006
2.3848	0.0006
2.3853	0.0005
2.3858	0.0005
2.3863	0.0005
2.3868	0.0005
2.3873	0.0005
2.3878	0.0005
2.3883	0.0004
2.3888	0.0004
2.3893	0.0004
2.3898	0.0004
2.3903	0.0004
2.3908	0.0004
2.3913	0.0003
2.3918	0.0003
2.3923	0.0003
2.3928	0.0003
2.3933	0.0003
2.3938	0.0003
2.3943	0.0003
2.3948	0.0003
2.3953	0.0003
2.3958	0.0003
2.3963	0.0002
2.3968	0.0002
2.3973	0.0002
