Wavelength (micron)	F2 Net System Transmission with H Filter (BARR MAN114A; Gemini ID H_G0803)(1=100%)
1.7393	0.7480
1.7398	0.7469
1.7403	0.7423
1.7408	0.7424
1.7413	0.7424
1.7418	0.7456
1.7423	0.7478
1.7428	0.7458
1.7433	0.7469
1.7438	0.7405
1.7443	0.7385
1.7448	0.7330
1.7453	0.7317
1.7458	0.7308
1.7463	0.7230
1.7468	0.7237
1.7473	0.7280
1.7478	0.7241
1.7483	0.7316
1.7488	0.7337
1.7493	0.7279
1.7498	0.7302
1.7503	0.7215
1.7508	0.7243
1.7513	0.7233
1.7518	0.7219
1.7523	0.7140
1.7528	0.7179
1.7533	0.7171
1.7538	0.7133
1.7543	0.7173
1.7548	0.7162
1.7553	0.7154
1.7558	0.7116
1.7563	0.7147
1.7568	0.7102
1.7573	0.7107
1.7578	0.7096
1.7583	0.7161
1.7588	0.7099
1.7593	0.7111
1.7598	0.7057
1.7603	0.7036
1.7608	0.7007
1.7613	0.7012
1.7618	0.6939
1.7623	0.6813
1.7628	0.6836
1.7633	0.6809
1.7638	0.6759
1.7643	0.6859
1.7648	0.6751
1.7653	0.6695
1.7658	0.6662
1.7663	0.6581
1.7668	0.6493
1.7673	0.6394
1.7678	0.6293
1.7683	0.6155
1.7688	0.6076
1.7693	0.5927
1.7698	0.5814
1.7703	0.5676
1.7708	0.5538
1.7713	0.5420
1.7718	0.5238
1.7723	0.5094
1.7728	0.4916
1.7733	0.4760
1.7738	0.4590
1.7743	0.4428
1.7748	0.4261
1.7753	0.4082
1.7758	0.3911
1.7763	0.3776
1.7768	0.3562
1.7773	0.3376
1.7778	0.3194
1.7783	0.3029
1.7788	0.2851
1.7793	0.2698
1.7798	0.2558
1.7803	0.2378
1.7808	0.2240
1.7813	0.2104
1.7818	0.1974
1.7823	0.1858
1.7828	0.1745
1.7833	0.1629
1.7838	0.1511
1.7843	0.1416
1.7848	0.1316
1.7853	0.1239
1.7858	0.1156
1.7863	0.1073
1.7868	0.1001
1.7873	0.0929
1.7878	0.0860
1.7883	0.0814
1.7888	0.0758
1.7893	0.0708
1.7898	0.0650
1.7903	0.0604
1.7908	0.0563
1.7913	0.0527
1.7918	0.0494
1.7923	0.0460
1.7928	0.0427
1.7933	0.0401
1.7938	0.0375
1.7943	0.0351
1.7948	0.0332
1.7953	0.0310
1.7958	0.0291
1.7963	0.0272
1.7968	0.0255
1.7973	0.0239
1.7978	0.0226
1.7983	0.0211
1.7988	0.0198
1.7993	0.0185
1.7998	0.0172
1.8003	0.0161
1.8008	0.0154
1.8013	0.0144
1.8018	0.0135
1.8023	0.0129
1.8028	0.0120
1.8033	0.0114
1.8038	0.0107
1.8043	0.0101
1.8048	0.0096
1.8053	0.0089
1.8058	0.0084
1.8063	0.0079
1.8068	0.0075
1.8073	0.0071
1.8078	0.0067
1.8083	0.0062
1.8088	0.0059
1.8093	0.0056
1.8098	0.0052
1.8103	0.0050
1.8108	0.0048
1.8113	0.0045
1.8118	0.0043
1.8123	0.0041
1.8128	0.0038
1.8133	0.0037
1.8138	0.0035
1.8143	0.0033
1.8148	0.0031
1.8153	0.0028
1.8158	0.0028
1.8163	0.0026
1.8168	0.0025
1.8173	0.0024
1.8178	0.0023
1.8183	0.0022
1.8188	0.0020
1.8193	0.0019
1.8198	0.0018
1.8203	0.0017
1.8208	0.0016
1.8213	0.0016
1.8218	0.0014
1.8223	0.0014
1.8228	0.0014
1.8233	0.0013
1.8238	0.0012
1.8243	0.0012
1.8248	0.0011
1.8253	0.0011
1.8258	0.0010
1.8263	0.0009
1.8268	0.0009
1.8273	0.0009
1.8278	0.0008
1.8283	0.0008
1.8288	0.0008
1.8293	0.0007
1.8298	0.0007
1.8303	0.0007
1.8308	0.0006
1.8313	0.0006
1.8318	0.0006
1.8323	0.0006
1.8328	0.0006
1.8333	0.0005
1.8338	0.0005
1.8343	0.0005
1.8348	0.0004
1.8353	0.0004
1.8358	0.0004
1.8363	0.0004
1.8368	0.0004
1.8373	0.0004
1.8378	0.0004
1.8383	0.0003
1.8388	0.0003
1.8393	0.0003
1.8398	0.0003
1.8403	0.0003
1.8408	0.0003
1.8413	0.0003
1.8418	0.0003
1.8423	0.0003
1.8428	0.0003
1.8433	0.0002
1.8438	0.0002
1.8443	0.0002
1.8448	0.0002
1.8453	0.0002
1.8458	0.0002
1.8463	0.0002
1.8468	0.0002
1.8473	0.0001
1.8478	0.0002
1.8483	0.0002
1.8488	0.0002
1.8493	0.0002
1.8498	0.0002
1.8503	0.0002
1.8508	0.0002
1.8513	0.0002
1.8518	0.0002
1.8523	0.0002
1.8528	0.0001
1.8533	0.0001
1.8538	0.0002
1.8543	0.0001
1.8548	0.0001
1.8553	0.0001
1.8558	0.0001
1.8563	0.0001
1.8568	0.0001
1.8573	0.0001
1.8578	0.0001
1.8583	0.0001
1.8588	0.0001
1.8593	0.0001
1.8598	0.0001
1.8603	0.0001
1.8608	0.0001
1.8613	0.0001
1.8618	0.0001
1.8623	0.0001
1.8628	0.0001
1.8633	0.0001
1.8638	0.0001
1.8643	0.0001
1.8648	0.0001
1.8653	0.0001
1.8658	0.0001
1.8663	0.0001
1.8668	0.0001
1.8673	0.0001
1.8678	0.0001
1.8683	0.0001
1.8688	0.0001
1.8693	0.0001
1.8698	0.0001
1.8703	0.0001
1.8708	0.0001
1.8713	0.0001
